Date Time,CS2-1-dO,CS2-2-dO,CS2-3-dO,CS2-4-dO,CS2-5-dO,CS2-6-dO,CS2-7-dO,CS2-8-dO,CS2-9-dO,CS2-10-dO,CS2-11-dO,CS2-12-dO,CS2-1-pH,CS2-2-pH,CS2-3-pH,CS2-4-pH,CS2-5-pH,CS2-6-pH,CS2-7-pH,CS2-8-pH,CS2-9-pH,CS2-10-pH,CS2-11-pH,CS2-12-pH,CS2-1-LH,CS2-2-LH,CS2-3-LH,CS2-4-LH,CS2-5-LH,CS2-6-LH,CS2-7-LH,CS2-8-LH,CS2-9-LH,CS2-10-LH,CS2-11-LH,CS2-12-LH,CS2-1-O2,CS2-2-O2,CS2-3-O2,CS2-4-O2,CS2-5-O2,CS2-6-O2,CS2-7-O2,CS2-8-O2,CS2-9-O2,CS2-10-O2,CS2-11-O2,CS2-12-O2,CS2-1-Air,CS2-2-Air,CS2-3-Air,CS2-4-Air,CS2-5-Air,CS2-6-Air,CS2-7-Air,CS2-8-Air,CS2-9-Air,CS2-10-Air,CS2-11-Air,CS2-12-Air,CS2-1-N2,CS2-2-N2,CS2-3-N2,CS2-4-N2,CS2-5-N2,CS2-6-N2,CS2-7-N2,CS2-8-N2,CS2-9-N2,CS2-10-N2,CS2-11-N2,CS2-12-N2,CS2-1-Temperature,CS2-2-Temperature,CS2-3-Temperature,CS2-4-Temperature,CS2-5-Temperature,CS2-6-Temperature,CS2-7-Temperature,CS2-8-Temperature,CS2-9-Temperature,CS2-10-Temperature,CS2-11-Temperature,CS2-12-Temperature,CS2-1-TOTAL_ACID_ADDITION,CS2-2-TOTAL_ACID_ADDITION,CS2-3-TOTAL_ACID_ADDITION,CS2-4-TOTAL_ACID_ADDITION,CS2-5-TOTAL_ACID_ADDITION,CS2-6-TOTAL_ACID_ADDITION,CS2-7-TOTAL_ACID_ADDITION,CS2-8-TOTAL_ACID_ADDITION,CS2-9-TOTAL_ACID_ADDITION,CS2-10-TOTAL_ACID_ADDITION,CS2-11-TOTAL_ACID_ADDITION,CS2-12-TOTAL_ACID_ADDITION,CS2-2-TOTAL_BASE_ADDITION,CS2-1-TOTAL_BASE_ADDITION,CS2-3-TOTAL_BASE_ADDITION,CS2-4-TOTAL_BASE_ADDITION,CS2-5-TOTAL_BASE_ADDITION,CS2-6-TOTAL_BASE_ADDITION,CS2-7-TOTAL_BASE_ADDITION,CS2-8-TOTAL_BASE_ADDITION,CS2-9-TOTAL_BASE_ADDITION,CS2-10-TOTAL_BASE_ADDITION,CS2-11-TOTAL_BASE_ADDITION,CS2-12-TOTAL_BASE_ADDITION
3/1/2022 17:43,75.36,60.27,59.29,60.2,60.19,0.07,0,60.37,48.04,1.74,59.9,59.03,7.12,7.14,7.07,7.11,7.11,7.06,7.12,7.05,6.93,7.01,7.1,7.01,,,,,,,,,,,,,24.985,22.282,7.898,8.859,23.874,30,30,18.138,30,30,6.186,3.183,5.015,7.718,22.102,21.141,6.126,0,0,11.862,0,0,23.814,26.817,0,0,0,0,0,0,0,0,0,0,0,0,29.99,29.88,29.92,29.94,30,29.93,30.03,29.95,30.05,30.02,30.05,29.97,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2022 17:44,71.02,58.8,59.38,59.55,58.91,0.03,0,61.08,61.42,1.02,59.16,58.79,7.12,7.14,7.07,7.11,7.12,7.06,7.13,7.06,6.94,7.02,7.1,7.01,,,,,,,,,,,,,22.372,22.432,8.018,8.889,24.024,30,30,17.958,30,30,6.246,3.333,7.628,7.568,21.982,21.111,5.976,0,0,12.042,0,0,23.754,26.667,0,0,0,0,0,0,0,0,0,0,0,0,29.91,29.93,30.01,30.02,30.03,29.92,29.83,29.91,30.01,29.96,29.98,29.93,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2022 17:45,60.57,57.72,59.98,59.47,58.54,0,0,59.69,68.69,0.68,59.06,59.36,7.12,7.14,7.07,7.11,7.12,7.07,7.13,7.06,6.94,7.02,7.09,7.01,,,,,,,,,,,,,21.291,22.823,8.078,9.039,24.264,30,30,17.898,30,30,6.426,3.483,8.709,7.177,21.922,20.961,5.736,0,0,12.102,0,0,23.574,26.517,0,0,0,0,0,0,0,0,0,0,0,0,29.87,29.95,29.96,29.9,29.99,30.03,29.97,29.93,29.99,30.08,29.99,29.97,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2022 17:46,48.04,58.3,60.04,59.88,59.77,0,0,56.91,72.37,0.52,59.57,59.07,7.12,7.15,7.07,7.11,7.12,7.07,7.13,7.06,6.94,7.02,7.09,7.01,,,,,,,,,,,,,22.643,23.183,8.048,9.069,24.384,30,30,18.228,29.159,30,6.547,3.634,7.357,6.817,21.952,20.931,5.616,0,0,11.772,0.841,0,23.453,26.366,0,0,0,0,0,0,0,0,0,0,0,0,30.01,30.04,29.94,29.93,30.04,30.06,29.82,30,30.01,30.05,30.03,29.99,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2022 17:47,43.23,58.46,59.51,59.86,61.76,0,0,56.48,70.61,0.44,60.58,60.15,7.13,7.15,7.07,7.12,7.12,7.08,7.13,7.07,6.95,7.03,7.1,7.02,,,,,,,,,,,,,24.775,23.363,8.108,9.099,24.384,30,30,18.709,27.508,30,6.547,3.694,5.225,6.637,21.892,20.901,5.616,0,0,11.291,2.492,0,23.453,26.306,0,0,0,0,0,0,0,0,0,0,0,0,29.97,29.96,29.98,30,30.05,30.03,29.83,30.11,30.05,30,30,30.01,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2022 17:48,45.9,58.64,59.21,59.98,57.15,0,0,56.82,59.5,0.43,60.79,60.48,7.13,7.16,7.07,7.12,7.13,7.08,7.14,7.08,6.95,7.03,7.1,7.02,,,,,,,,,,,,,27.868,23.604,8.258,9.129,24.655,30,30,19.459,26.607,30,6.426,3.634,2.132,6.396,21.742,20.871,5.345,0,0,10.541,3.393,0,23.574,26.366,0,0,0,0,0,0,0,0,0,0,0,0,29.94,29.94,29.9,29.9,29.76,29.81,29.98,29.89,29.97,30,29.9,29.93,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2022 17:49,55.15,59.04,59.03,60,57.63,0,0,59.16,47.53,0.27,60.25,60.17,7.14,7.16,7.08,7.12,7.14,7.08,7.15,7.08,6.95,7.04,7.1,7.02,,,,,,,,,,,,,29.67,23.814,8.438,9.129,25.165,30,30,19.85,28.108,30,6.306,3.514,0.33,6.186,21.562,20.871,4.835,0,0,10.15,1.892,0,23.694,26.486,0,0,0,0,0,0,0,0,0,0,0,0,29.92,29.94,29.9,29.86,29.89,29.96,30.03,29.93,29.91,30,29.93,29.91,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2022 17:50,65.87,59.06,59.89,60.06,57.84,0,0,60.25,44.59,0.26,58.58,58.99,7.14,7.16,7.08,7.12,7.14,7.09,7.15,7.08,6.95,7.04,7.1,7.02,,,,,,,,,,,,,29.399,23.994,8.529,9.129,25.315,30,30,19.94,30,30,6.396,3.634,0.601,6.006,21.471,20.871,4.685,0,0,10.06,0,0,23.604,26.366,0,0,0,0,0,0,0,0,0,0,0,0,30.11,29.93,29.89,29.9,29.88,30.09,30.04,29.93,29.94,29.97,29.93,29.89,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2022 17:51,71.78,59.13,60.82,59.71,57.59,0,0,61.66,48.37,0.14,58.71,58.8,7.14,7.16,7.08,7.12,7.15,7.09,7.15,7.09,6.96,7.05,7.1,7.02,,,,,,,,,,,,,27.988,24.174,8.468,9.159,25.736,30,30,19.76,30,30,6.667,3.874,2.012,5.826,21.532,20.841,4.264,0,0,10.24,0,0,23.333,26.126,0,0,0,0,0,0,0,0,0,0,0,0,29.83,30.01,29.91,29.95,29.91,29.96,29.96,30.06,30.01,29.98,29.94,29.95,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2022 17:52,73.65,58.24,59.93,59.53,58.45,0,0,61.35,49.06,0.08,59.55,58.94,7.15,7.17,7.08,7.12,7.15,7.09,7.16,7.09,6.96,7.05,7.1,7.02,,,,,,,,,,,,,25.285,24.474,8.408,9.249,26.006,30,30,19.489,30,30,6.877,4.144,4.715,5.526,21.592,20.751,3.994,0,0,10.511,0,0,23.123,25.856,0,0,0,0,0,0,0,0,0,0,0,0,29.93,29.89,29.8,29.9,29.95,29.97,29.86,29.92,29.96,29.95,29.91,29.95,,,,,,,,,,,,,,,,,,,,,,,,
